"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"702","Dylan Larkin","DET","C","76","1660","32","41","26","15","73","75.26","287","11.15","26.34","494","382","263","113","17","26","75","32","30","1","1","28","100","69","80","76","38","865","722","54.51"
"862","Auston Matthews","TOR","C","68","1261.7333333333","37","36","23","13","73","79.35","251","14.74","27.11","447","359","321","112","13","26","12","6","6","0","0","14","67","57","28","105","60","475","436","52.14"
"60","Evgeni Malkin","PIT","C","68","1278.6666666667","21","51","31","20","72","79.12","188","11.17","17.59","324","245","196","76","10","25","89","31","27","1","3","26","84","64","54","94","33","381","453","45.68"
"64","Alexander Radulov","DAL","R","70","1384.8","29","43","23","20","72","68.57","210","13.81","22.03","368","275","208","98","11","29","54","27","27","0","0","16","74","43","60","85","83","6","10","37.50"
"341","Evgeny Kuznetsov","WSH","C","76","1428.1","21","51","25","26","72","65.45","193","10.88","21.68","335","280","168","78","9","14","50","25","25","0","0","18","62","46","46","42","20","396","627","38.71"
"500","Morgan Rielly","TOR","D","82","1896.0166666667","20","52","25","27","72","48.32","223","8.97","10.19","490","309","125","15","7","26","14","7","7","0","0","8","94","60","61","104","114","0","1","0.00"
"654","Max Domi","MTL","C, L","82","1425.3166666667","28","44","27","17","72","76.60","203","13.79","19.5","362","273","200","73","10","30","80","33","30","2","1","30","70","47","53","84","39","447","549","44.88"
"162","Logan Couture","S.J","C","81","1506.1833333333","27","43","26","17","70","63.64","204","13.24","22.08","361","288","201","87","11","21","22","10","10","0","0","12","36","71","65","95","52","282","327","46.31"
"178","Evgenii Dadonov","FLA","R","82","1506.4333333333","28","42","22","20","70","56.00","195","14.36","26.26","359","280","238","110","12","19","8","4","4","0","0","15","59","45","33","125","42","2","3","40.00"
"217","John Carlson","WSH","D","80","2005.1833333333","13","57","35","22","70","45.16","185","7.03","10.28","397","267","103","18","11","19","34","13","12","0","1","8","87","55","54","82","164","0","0","-"
"252","Mike Hoffman","FLA","L","82","1462.7","36","34","14","20","70","67.31","253","14.23","19.61","441","333","196","60","13","19","30","15","15","0","0","16","98","48","42","74","26","13","25","34.21"
"241","Cam Atkinson","CBJ","R","80","1550.2333333333","41","28","11","17","69","67.65","295","13.90","30.38","487","411","283","120","16","28","20","10","10","0","0","9","45","47","27","29","25","24","52","31.58"
"457","Ryan Nugent-Hopkins","EDM","C","82","1648.3833333333","28","41","16","25","69","66.99","208","13.46","21.09","357","273","237","102","15","26","26","13","13","0","0","24","56","59","69","85","40","379","461","45.12"
"358","Vladimir Tarasenko","STL","R","76","1397.2833333333","33","35","16","19","68","73.12","275","12.00","24.48","491","356","287","102","15","34","22","7","6","0","1","17","31","34","88","70","40","4","2","66.67"
"182","Jakub Voracek","PHI","R","78","1456.4333333333","20","46","29","17","66","69.47","210","9.52","17.95","383","285","177","66","6","38","25","11","10","1","0","20","58","32","17","75","29","12","18","40.00"
"770","Kyle Connor","WPG","L","82","1578.7166666667","34","32","20","12","66","55.46","227","14.98","28.01","355","296","234","129","11","28","18","9","9","0","0","10","33","56","9","80","21","8","5","61.54"
"780","Timo Meier","S.J","R","78","1323.4166666667","30","36","20","16","66","72.53","250","12.00","27.62","444","346","304","149","18","37","55","25","24","1","0","36","38","49","99","109","40","12","26","31.58"
"931","Elias Pettersson","VAN","C","71","1294.0666666667","28","38","24","14","66","76.74","144","19.44","14.06","267","202","150","42","8","15","12","6","6","0","0","34","52","41","42","85","51","257","370","40.99"
"687","Sam Reinhart","BUF","C","82","1554.5333333333","22","43","28","15","65","65.00","181","12.15","21.86","325","276","204","118","11","15","16","8","8","0","0","16","46","39","38","123","47","31","56","35.63"
"55","Joe Pavelski","S.J","C","75","1428.3","38","26","17","9","64","66.67","188","20.21","26.24","297","251","225","124","10","30","22","11","11","0","0","25","45","41","69","54","61","526","463","53.19"
"370","Ryan Johansen","NSH","C","80","1564.4166666667","14","50","29","21","64","62.75","136","10.29","15.43","225","174","136","81","5","17","42","20","20","0","0","13","66","43","95","41","23","782","679","53.52"
"364","Jeff Skinner","BUF","C, L","82","1518.4833333333","40","23","15","8","63","58.88","268","14.93","28.65","431","355","287","131","10","28","36","18","18","0","0","40","39","56","31","66","24","157","144","52.16"
"99","Keith Yandle","FLA","D","82","1840.3666666667","9","53","35","18","62","48.44","199","4.52","9.5","408","279","82","6","11","26","50","21","20","0","1","12","110","27","47","27","76","0","0","-"
"397","Mark Stone","OTT","R","59","1213.4666666667","28","34","23","11","62","67.39","145","19.31","16.05","252","204","162","74","5","20","22","11","11","0","0","15","54","88","51","42","53","25","28","47.17"
"797","Mathew Barzal","NYI","C","82","1469.6833333333","18","44","23","21","62","82.67","179","10.06","19.24","293","230","208","92","8","21","46","23","23","0","0","32","117","66","25","111","56","241","339","41.55"
"37","Zach Parise","MIN","L","74","1381.45","28","33","17","16","61","72.62","229","12.23","26.8","345","290","222","134","8","27","26","13","13","0","0","22","25","22","49","82","71","9","25","26.47"
"651","Bo Horvat","VAN","C","82","1708.5166666667","27","34","15","19","61","61.62","227","11.89","25.19","355","292","236","128","6","25","33","15","14","1","0","18","38","28","62","74","63","1083","935","53.67"
"889","Pierre-Luc Dubois","CBJ","C","82","1452.6666666667","27","34","19","15","61","58.10","174","15.52","19.84","309","248","225","96","7","19","64","32","32","0","0","29","54","45","115","133","52","455","592","43.46"
"85","Anze Kopitar","L.A","C","81","1806.1833333333","22","38","27","11","60","65.22","156","14.10","19.19","298","227","174","82","10","25","30","15","15","0","0","24","58","57","59","86","66","1002","817","55.09"
"563","Erik Gustafsson","CHI","D","79","1784.1833333333","17","43","24","19","60","52.17","160","10.63","8","345","228","88","11","3","16","34","17","17","0","0","9","77","34","100","154","115","0","0","-"
"280","Tyson Barrie","COL","D","78","1698.5333333333","14","45","28","17","59","54.13","218","6.42","11.05","441","298","118","23","6","35","36","17","17","0","0","9","41","28","48","84","93","0","0","-"
"486","Jonathan Marchessault","VGK","C","82","1488.0166666667","25","34","16","18","59","62.11","278","8.99","27.39","486","378","246","88","13","25","52","26","26","0","0","24","68","51","98","106","22","92","155","37.25"
"264","Matt Duchene","OTT","C","50","962.16666666667","27","31","21","10","58","72.50","126","21.43","14.66","208","168","135","60","6","14","6","3","3","0","0","14","44","33","17","75","28","473","386","55.06"
