"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"69","Brandon Dubinsky","CBJ","C","61","753.68333333333","6","8","5","3","14","70.00","63","9.52","6.21","96","77","56","31","5","3","36","11","8","2","1","10","7","16","147","43","28","427","321","57.09"
"240","Matt Martin","NYI","L","67","766.03333333333","6","8","3","5","14","58.33","62","9.68","5.99","108","90","66","31","0","4","53","14","9","3","2","16","19","13","275","80","42","6","9","40.00"
"271","Calvin de Haan","CAR","D","74","1369.8333333333","1","13","7","6","14","28.57","102","0.98","4.82","283","175","68","11","6","27","20","10","10","0","0","10","55","59","187","114","106","0","1","0.00"
"334","Johan Larsson","BUF","C","73","1043.3666666667","6","8","4","4","14","50.00","79","7.59","8.5","160","124","86","32","7","2","37","16","15","1","0","16","22","29","112","99","44","503","490","50.65"
"353","Nick Bjugstad","PIT","C","32","503.73333333333","9","5","1","4","14","73.68","94","9.57","8.48","128","112","86","39","1","11","14","7","7","0","0","6","20","19","82","43","9","159","169","48.48"
"354","Derek Forbort","L.A","D","81","1680.1","2","12","4","8","14","29.17","75","2.67","2.37","183","118","31","4","3","14","52","18","16","0","2","6","78","15","105","146","139","0","1","0.00"
"406","Brian Gibbons","OTT","L","20","244.18333333333","6","8","6","2","14","87.50","21","28.57","2.12","30","25","22","13","3","3","4","2","2","0","0","6","12","11","14","22","10","12","24","33.33"
"470","Sven Baertschi","VAN","L","26","393.58333333333","9","5","3","2","14","70.00","43","20.93","6.31","70","66","55","28","2","4","6","3","3","0","0","3","6","10","18","31","13","1","3","25.00"
"510","Tanner Pearson","PIT","L","44","581.68333333333","9","5","4","1","14","63.64","81","11.11","6.9","119","96","65","36","6","7","13","5","4","1","0","6","10","12","82","76","25","3","6","33.33"
"514","Olli Maatta","PIT","D","60","1115.4","1","13","7","6","14","25.93","74","1.35","2.87","168","112","27","4","2","11","12","6","6","0","0","4","42","16","97","175","116","0","0","-"
"549","Jake McCabe","BUF","D","59","1117.75","4","10","3","7","14","35.00","64","6.25","2.78","137","95","37","7","5","4","35","16","15","1","0","9","32","20","103","111","99","0","1","0.00"
"605","Anthony Duclair","OTT","L","21","287.48333333333","8","6","2","4","14","77.78","40","20.00","3.96","67","53","36","17","4","7","2","1","1","0","0","4","10","11","8","36","12","0","0","-"
"658","Nikita Zadorov","COL","D","70","1204.2666666667","7","7","6","1","14","26.92","100","7.00","4.05","209","142","49","9","3","12","75","33","30","3","0","12","32","21","228","58","67","0","0","-"
"663","Frederik Gauthier","TOR","C","70","585.56666666667","3","11","5","6","14","58.33","46","6.52","4.26","87","64","57","27","9","5","12","6","6","0","0","2","12","12","98","83","28","240","207","53.69"
"674","Trevor van Riemsdyk","CAR","D","78","1174.5666666667","3","11","5","6","14","35.90","102","2.94","4.03","204","145","44","7","2","19","10","5","5","0","0","4","35","28","42","79","84","0","0","-"
"707","Nick Schmaltz","ARI","C","17","306.36666666667","5","9","6","3","14","70.00","29","17.24","2.95","61","39","34","10","1","6","2","1","1","0","0","4","10","12","0","16","5","52","109","32.30"
"818","Joel Eriksson Ek","MIN","C","58","783.45","7","7","7","0","14","53.85","111","6.31","11.08","166","138","105","65","8","16","20","9","9","0","0","14","9","18","117","113","24","247","293","45.74"
"831","Noel Acciari","BOS","C","72","934.98333333333","6","8","5","3","14","60.87","99","6.06","9.41","159","137","102","53","3","10","47","15","11","3","1","18","13","35","221","150","36","200","203","49.63"
"842","Rudolfs Balcers","OTT","L","36","444.75","5","9","4","5","14","73.68","48","10.42","5.75","88","73","65","33","1","13","10","5","5","0","0","3","15","11","18","42","24","1","6","14.29"
"904","Nikita Zaitsev","TOR","D","81","1658.3666666667","3","11","2","9","14","21.21","71","4.23","2.48","229","122","50","2","4","7","18","9","9","0","0","4","79","18","139","144","151","0","0","-"
"63","Drew Stafford","N.J","R","57","699.13333333333","5","8","6","2","13","52.00","77","6.49","7.06","136","106","75","38","3","7","18","9","9","0","0","3","17","15","50","62","19","16","23","41.03"
"84","Jack Johnson","PIT","D","82","1580.8333333333","1","12","5","7","13","20.63","86","1.16","3.34","212","126","47","2","2","12","41","18","17","1","0","11","32","14","233","167","147","0","0","-"
"86","Marc Staal","NYR","D","79","1534.2","3","10","3","7","13","23.21","84","3.57","3.53","170","108","60","9","2","13","32","16","16","0","0","8","68","28","94","60","119","0","0","-"
"100","Vladimir Sobotka","BUF","C","69","978.81666666667","5","8","4","4","13","52.00","71","7.04","5.48","127","96","60","23","7","4","26","13","13","0","0","11","14","12","87","85","30","318","295","51.88"
"169","Brendan Smith","NYR","D","63","963.63333333333","4","9","5","4","13","54.17","66","6.06","4.99","147","98","54","21","5","6","71","27","23","3","1","21","50","32","100","76","48","0","1","0.00"
"197","Jay Beagle","VAN","C","57","778.31666666667","3","10","6","4","13","59.09","45","6.67","4.33","71","60","46","25","3","6","18","9","9","0","0","6","10","13","102","39","33","426","332","56.20"
"225","Marco Scandella","BUF","D","63","1109.45","6","7","1","6","13","35.14","83","7.23","2.81","156","108","29","5","3","5","26","13","13","0","0","3","41","16","53","54","75","0","0","-"
"276","John Moore","BOS","D","61","1145.1333333333","4","9","4","5","13","30.95","97","4.12","3.73","185","126","39","6","2","4","26","13","13","0","0","5","24","10","77","109","76","0","0","-"
"356","Kevin Hayes","WPG","R","20","305.7","5","8","5","3","13","72.22","37","13.51","4.13","65","47","34","14","3","3","2","1","1","0","0","1","7","13","7","15","3","110","103","51.64"
"384","Tim Heed","S.J","D","37","531.63333333333","2","11","5","6","13","36.11","41","4.88","1.73","92","57","17","4","2","5","10","5","5","0","0","0","23","11","16","37","31","0","0","-"
"387","Kenny Agostino","N.J","L","27","411.06666666667","4","9","6","3","13","68.42","41","9.76","4.44","75","66","40","19","1","4","8","4","4","0","0","1","20","14","63","36","10","7","13","35.00"
"440","Rocco Grimaldi","NSH","C","53","530.33333333333","5","8","4","4","13","92.86","81","6.17","6.37","129","103","76","29","8","11","10","5","5","0","0","11","15","27","32","35","20","4","3","57.14"
"478","Connor Murphy","CHI","D","52","1013.4166666667","5","8","2","6","13","26.53","84","5.95","2.65","155","102","37","7","4","4","40","20","20","0","0","16","48","14","119","99","91","0","0","-"
"740","Michael Amadio","L.A","C","43","438.86666666667","6","7","2","5","13","59.09","37","16.22","3.87","83","56","48","18","5","3","6","3","3","0","0","4","13","19","16","45","13","96","127","43.05"
"763","Andrew Mangiapane","CGY","L","44","463.93333333333","8","5","3","2","13","59.09","65","12.31","6.11","97","78","69","34","4","7","12","6","6","0","0","3","11","16","43","63","17","6","3","66.67"
"843","Troy Terry","ANA","R","32","446.26666666667","4","9","6","3","13","48.15","25","16.00","2.83","59","38","36","16","1","3","2","1","1","0","0","9","16","14","4","49","12","1","4","20.00"
"845","Brett Seney","N.J","L","51","526.73333333333","5","8","5","3","13","76.47","49","10.20","4.22","74","61","37","20","3","6","31","14","13","1","0","22","17","17","48","49","15","98","162","37.69"
"884","Victor Mete","MTL","D","71","1261.8833333333","0","13","5","8","13","22.81","65","0.00","4.63","164","95","57","19","1","14","6","3","3","0","0","5","57","10","21","84","95","0","0","-"
"12","Deryk Engelland","VGK","D","74","1470.95","2","10","6","4","12","24.49","105","1.90","2.99","215","144","38","5","5","8","18","9","9","0","0","3","24","26","165","115","152","0","0","-"
"117","Trevor Lewis","L.A","C","44","617","3","9","6","3","12","66.67","87","3.45","6.24","134","111","64","25","5","7","9","3","2","1","0","8","12","12","53","51","25","57","67","45.97"
"165","Riley Nash","CBJ","C","78","845.5","3","9","7","2","12","52.17","79","3.80","7.51","123","99","71","35","8","9","19","8","7","1","0","7","13","39","72","95","43","150","183","45.05"
"263","Matt Duchene","CBJ","C","23","412.73333333333","4","8","4","4","12","54.55","46","8.70","4.42","67","59","52","25","2","3","2","1","1","0","0","1","24","17","11","32","12","203","160","55.92"
"306","Marcus Kruger","CHI","C","74","770.71666666667","4","8","4","4","12","52.17","74","5.41","6.12","98","89","55","32","5","5","30","15","15","0","0","9","11","17","51","75","34","188","203","48.08"
"321","Christopher Tanev","VAN","D","55","1109.2166666667","2","10","6","4","12","30.00","51","3.92","1.56","98","70","18","4","5","4","18","9","9","0","0","4","32","20","29","110","122","0","0","-"
"326","Oscar Lindberg","VGK","C, L","35","421.23333333333","4","8","6","2","12","57.14","66","6.06","6.23","109","87","66","26","5","11","24","12","12","0","0","2","20","13","65","41","17","15","17","46.88"
"346","Tyler Pitlick","DAL","C","47","628.96666666667","8","4","3","1","12","54.55","75","10.67","6.44","124","99","76","33","8","3","6","3","3","0","0","7","16","11","93","58","27","5","7","41.67"
"352","Nick Bjugstad","FLA","C","32","463.88333333333","5","7","1","6","12","50.00","60","8.33","6.73","105","83","58","29","4","9","16","8","8","0","0","9","19","18","44","42","18","103","99","50.99"
"378","Joakim Nordstrom","BOS","C","70","943.61666666667","7","5","3","2","12","46.15","103","6.80","7.26","162","135","87","33","6","6","13","5","4","1","0","12","19","26","86","99","52","48","77","38.40"
"409","Ryan Dzingel","CBJ","C","21","299.66666666667","4","8","5","3","12","75.00","26","15.38","2.49","42","34","31","12","1","4","0","0","0","0","0","1","9","7","13","19","3","3","2","60.00"
"436","Jean-Gabriel Pageau","OTT","C","39","695.95","4","8","5","3","12","66.67","83","4.82","7.03","129","106","72","41","8","11","14","3","2","0","1","7","22","21","63","51","38","259","222","53.85"
"511","Tanner Pearson","VAN","L","19","312.8","9","3","2","1","12","75.00","42","21.43","4.42","78","58","45","22","5","2","4","2","2","0","0","4","6","7","28","12","13","1","2","33.33"
"522","Derrick Pouliot","VAN","D","62","1063.8166666667","3","9","4","5","12","24.49","58","5.17","3.07","150","100","36","7","3","4","30","14","14","0","0","3","39","19","76","88","71","0","0","-"
"537","Devin Shore","ANA","C","34","525.48333333333","5","7","5","2","12","52.17","38","13.16","4.27","86","58","50","22","0","6","6","3","3","0","0","8","9","13","52","43","31","56","93","37.58"
"721","Jayce Hawryluk","FLA","C","42","396.1","7","5","2","3","12","75.00","35","20.00","3.41","59","50","40","17","3","3","16","8","8","0","0","15","21","10","101","57","25","14","5","73.68"
"838","Christian Wolanin","OTT","D","30","519.76666666667","4","8","3","5","12","33.33","36","11.11","1.44","69","44","22","4","0","3","6","3","3","0","0","0","25","15","11","30","31","0","0","-"
"844","Adam Gaudette","VAN","C","56","613.15","5","7","4","3","12","50.00","55","9.09","5.53","110","83","64","24","2","10","18","8","8","0","0","14","7","10","48","55","15","150","221","40.43"
"898","Tage Thompson","BUF","C, R","65","788.43333333333","7","5","5","0","12","66.67","108","6.48","7.96","205","156","101","37","6","11","20","10","10","0","0","7","32","24","66","45","9","10","10","50.00"
"905","Drake Caggiula","CHI","C","26","386.13333333333","5","7","4","3","12","63.16","47","10.64","3.94","63","55","49","26","3","1","12","3","1","2","0","10","6","9","56","45","9","12","16","42.86"
"935","Henri Jokiharju","CHI","D","38","721.25","0","12","7","5","12","33.33","62","0.00","2.45","138","87","34","2","2","6","16","8","8","0","0","2","26","7","48","40","37","0","0","-"
"961","Kiefer Sherwood","ANA","R","50","568.51666666667","6","6","1","5","12","57.14","60","10.00","5.57","111","89","62","28","7","10","8","4","4","0","0","5","23","17","79","62","19","7","9","43.75"
"978","Par Lindholm","TOR","C","61","698.4","1","11","6","5","12","50.00","60","1.67","5.77","132","101","61","28","2","7","18","9","9","0","0","6","11","27","54","103","54","201","194","50.89"
"61","Andrew Ladd","NYI","L","26","359.9","3","8","3","5","11","73.33","34","8.82","2.64","55","42","37","17","3","4","16","8","8","0","0","5","14","9","37","39","8","2","3","40.00"
"89","Andrew Cogliano","ANA","C, L","46","609.4","3","8","6","2","11","78.57","64","4.69","6.25","103","88","56","28","5","7","14","7","7","0","0","12","15","13","43","31","13","7","13","35.00"
"188","Carl Hagelin","WSH","L","20","298.51666666667","3","8","3","5","11","73.33","35","8.57","2.57","58","48","33","10","3","5","10","5","5","0","0","4","9","13","13","17","5","3","4","42.86"
"231","Dale Weise","PHI","R","42","509.9","5","6","3","3","11","78.57","53","9.43","5.25","81","71","56","29","2","6","15","6","5","1","0","6","8","8","67","42","16","2","8","20.00"
"234","Gustav Nyquist","S.J","C","19","295.65","6","5","1","4","11","55.00","41","14.63","5.47","69","62","51","23","1","4","4","2","2","0","0","1","16","10","12","24","7","3","1","75.00"
"336","Greg McKegg","CAR","C","41","437.11666666667","6","5","4","1","11","68.75","27","22.22","3.59","50","41","41","24","3","3","8","4","4","0","0","5","10","14","30","55","18","146","140","51.05"
"373","Mark Pysyk","FLA","D","70","1278.8333333333","1","10","4","6","11","20.75","64","1.56","2.54","129","93","24","4","2","4","26","13","13","0","0","3","72","35","133","85","89","0","0","-"
"386","Kenny Agostino","MTL","L","36","402.7","2","9","3","6","11","64.71","38","5.26","2.73","69","54","35","13","2","4","26","6","3","2","1","6","10","11","80","38","4","8","14","36.36"
"398","Mark Stone","VGK","R","18","317.7","5","6","2","4","11","68.75","54","9.26","4.8","93","70","59","24","5","7","5","1","0","1","0","9","8","34","21","25","18","3","6","33.33"
"401","Taylor Fedun","DAL","D","54","748.3","4","7","5","2","11","44.00","86","4.65","2.66","153","100","38","5","3","5","14","7","7","0","0","3","37","14","19","45","58","0","0","-"
"420","Tobias Rieder","EDM","R","67","847.15","0","11","7","4","11","84.62","92","0.00","7.77","161","118","82","40","6","8","8","4","4","0","0","6","12","35","69","104","44","5","20","20.00"
"437","Mike Reilly","MTL","D","57","1064.5166666667","3","8","2","6","11","23.40","101","2.97","4.57","225","151","56","12","4","10","16","8","8","0","0","13","56","13","48","77","53","0","0","-"
"439","Ty Rattie","EDM","R","50","567.28333333333","4","7","6","1","11","50.00","84","4.76","9.13","124","104","89","55","3","11","4","2","2","0","0","8","12","22","57","60","7","1","2","33.33"
"450","Joel Edmundson","STL","D","64","1240.7666666667","2","9","8","1","11","21.15","102","1.96","4.43","202","137","41","8","2","12","66","30","28","2","0","8","41","9","128","56","106","0","1","0.00"
"472","Jamie Oleksiak","PIT","D","36","571.31666666667","4","7","2","5","11","36.67","35","11.43","1.69","79","53","14","5","1","4","37","14","11","3","0","11","24","6","97","66","37","0","0","-"
"534","Chandler Stephenson","WSH","C","64","775.45","5","6","4","2","11","73.33","36","13.89","3.94","65","50","41","25","7","2","0","0","0","0","0","7","11","18","38","66","33","47","48","49.47"
"660","Mirco Mueller","N.J","D","53","957.81666666667","1","10","5","5","11","34.38","39","2.56","1.32","94","57","14","2","0","3","17","7","6","1","0","7","35","22","75","62","61","0","0","-"
"708","Nick Schmaltz","CHI","C","23","406.86666666667","2","9","3","6","11","52.38","33","6.06","3.49","61","42","43","14","5","7","6","3","3","0","0","8","15","23","5","26","7","52","68","43.33"
"720","Brendan Lemieux","WPG","L","44","326.26666666667","9","2","0","2","11","61.11","37","24.32","3.59","58","47","37","20","2","2","64","14","7","4","3","20","6","8","81","31","15","4","6","40.00"
"875","Sam Steel","ANA","C","22","329.23333333333","6","5","4","1","11","68.75","33","18.18","3.4","52","43","35","14","3","3","8","4","4","0","0","1","10","7","9","19","6","108","112","49.09"
"906","Drake Caggiula","EDM","C, L","29","407.43333333333","7","4","2","2","11","55.00","49","14.29","6.1","85","65","47","28","3","6","16","7","7","0","0","7","16","9","79","22","17","4","11","26.67"
"913","Matt Luff","L.A","R","33","366.83333333333","8","3","2","1","11","68.75","45","17.78","4.71","86","66","48","15","1","7","9","3","2","1","0","6","12","4","17","24","19","1","3","25.00"
"966","Lukas Radil","S.J","C","36","384.56666666667","7","4","3","1","11","61.11","40","17.50","5.41","72","59","48","26","3","2","6","3","3","0","0","6","9","14","29","70","9","6","3","66.67"
"28","Chris Kunitz","CHI","L","56","507.3","5","5","3","2","10","66.67","44","11.36","5.07","87","61","53","27","5","5","23","6","4","1","1","4","18","13","85","54","15","2","5","28.57"
"44","Corey Perry","ANA","R","31","459.5","6","4","4","0","10","76.92","59","10.17","5.87","104","82","68","31","2","6","27","12","11","1","0","13","11","12","21","34","14","0","2","0.00"
"103","Niklas Hjalmarsson","ARI","D","82","1615.2666666667","0","10","2","8","10","16.13","57","0.00","2.66","109","75","19","1","3","11","44","22","22","0","0","5","46","32","45","114","187","0","0","-"
"160","Sam Gagner","EDM","C","25","339.8","5","5","3","2","10","66.67","51","9.80","3.86","90","70","43","17","0","3","10","5","5","0","0","0","17","4","16","36","5","47","44","51.65"
"177","Robert Bortuzzo","STL","D","59","911.85","2","8","6","2","10","25.00","75","2.67","3.26","127","97","40","9","4","7","47","21","20","1","0","9","20","11","95","88","72","0","0","-"
"339","Jordan Weal","MTL","C","16","249.66666666667","4","6","4","2","10","66.67","30","13.33","2.75","51","40","26","11","0","3","2","1","1","0","0","2","7","5","8","23","9","86","70","55.13"
"344","Patrik Nemeth","COL","D","74","1220.0333333333","1","9","7","2","10","22.73","57","1.75","2.14","112","81","29","5","3","8","53","21","19","1","1","11","19","4","137","132","131","0","0","-"
"361","Riley Sheahan","FLA","C","33","483.68333333333","2","8","3","5","10","62.50","50","4.00","5.61","76","67","44","22","6","5","4","2","2","0","0","9","13","29","22","54","18","206","169","54.93"
"408","Matthew Peca","MTL","C","39","410.45","3","7","5","2","10","125.00","35","8.57","2.42","62","42","28","11","1","3","4","2","2","0","0","8","12","12","33","51","21","80","89","47.34"
"544","Boo Nieves","NYR","C","43","415.18333333333","4","6","3","3","10","76.92","34","11.76","2.84","53","42","31","16","4","3","8","4","4","0","0","10","20","12","33","43","18","88","139","38.77"
"548","Teddy Blueger","PIT","C","28","309.6","6","4","3","1","10","76.92","33","18.18","3.04","51","39","30","18","2","2","15","6","5","1","0","5","7","6","52","34","14","41","51","44.57"
"576","Christian Djoos","WSH","D","45","610.71666666667","1","9","5","4","10","35.71","33","3.03","1.33","75","46","20","2","2","8","4","2","2","0","0","5","22","10","18","32","28","0","0","-"
"581","Tim Schaller","VAN","C","47","501.15","3","7","6","1","10","58.82","44","6.82","4.46","71","58","40","25","4","9","9","3","2","1","0","5","8","14","66","43","18","1","1","50.00"
"652","Valeri Nichushkin","DAL","R","57","679.26666666667","0","10","4","6","10","43.48","65","0.00","5.14","109","83","63","27","2","8","0","0","0","0","0","11","30","24","71","53","32","3","3","50.00"
"730","Brandon Montour","BUF","D","20","435.4","3","7","2","5","10","52.63","55","5.45","1.95","96","69","24","4","1","3","16","8","8","0","0","1","14","4","32","22","28","0","0","-"
"762","Dryden Hunt","FLA","L","31","342.93333333333","3","7","3","4","10","62.50","53","5.66","4.22","89","68","39","13","3","2","8","4","4","0","0","4","8","10","65","52","9","0","3","0.00"
"795","Brandon Carlo","BOS","D","72","1506.4333333333","2","8","4","4","10","17.86","116","1.72","5.55","218","164","41","12","2","11","47","22","21","1","0","10","42","43","134","157","88","1","0","100.00"
"841","Christian Jaros","OTT","D","61","876.4","1","9","3","6","10","32.26","65","1.54","2.21","119","84","22","4","4","7","27","12","11","1","0","8","40","17","110","114","82","0","0","-"
"846","Mason Appleton","WPG","C","36","295.35","3","7","5","2","10","58.82","29","10.34","2.34","53","41","30","16","1","3","4","2","2","0","0","0","5","4","28","30","12","0","1","0.00"
"857","Kevin Rooney","N.J","C","41","517.13333333333","6","4","1","3","10","62.50","39","15.38","4.39","62","56","45","19","3","1","15","6","5","1","0","10","9","15","77","48","22","187","192","49.34"
"959","Sean Walker","L.A","D","39","601.83333333333","3","7","4","3","10","40.00","55","5.45","2.22","118","76","29","1","1","6","8","4","4","0","0","4","16","14","43","52","40","0","0","-"
"7","Brooks Orpik","WSH","D","53","830.15","2","7","2","5","9","21.43","43","4.65","1.14","100","61","21","2","0","6","32","12","10","2","0","7","31","5","131","72","78","0","0","-"
"56","Kyle Brodziak","EDM","C","70","818.43333333333","6","3","2","1","9","50.00","74","8.11","6.8","129","106","71","33","9","8","33","11","9","1","1","6","17","33","92","49","46","399","368","52.02"
"75","Roman Polak","DAL","D","77","1475.95","1","8","3","5","9","20.00","77","1.30","3.72","155","116","35","8","3","8","69","28","26","1","1","12","49","18","191","86","152","0","0","-"
"137","Andrew MacDonald","PHI","D","47","770.53333333333","0","9","3","6","9","27.27","41","0.00","1.72","103","65","19","4","0","7","18","9","9","0","0","6","27","3","30","75","95","0","0","-"
"174","Mario Kempe","ARI","R","52","581.35","4","5","3","2","9","50.00","57","7.02","4.65","106","82","53","29","4","5","18","9","9","0","0","11","10","11","105","96","30","126","203","38.30"
"235","Derek Grant","ANA","C","31","428.65","2","7","3","4","9","64.29","48","4.17","4.84","83","68","36","20","1","3","8","4","4","0","0","0","10","14","50","33","19","195","187","51.05"
"340","Jordan Weal","PHI","C","28","390.55","3","6","4","2","9","75.00","33","9.09","3.19","59","45","34","15","0","3","16","8","8","0","0","2","9","7","8","38","8","166","112","59.71"
"362","Riley Sheahan","PIT","C","49","620.16666666667","7","2","2","0","9","50.00","60","11.67","6.59","88","77","62","32","8","4","13","5","4","1","0","5","10","20","50","75","26","154","159","49.20"
"382","Tom Kuhnhackl","NYI","R","36","456.55","4","5","4","1","9","50.00","30","13.33","3.12","57","43","40","22","2","5","10","5","5","0","0","3","16","8","48","38","41","0","2","0.00"
"622","Jacob de la Rose","DET","C, L","60","686.56666666667","3","6","3","3","9","47.37","55","5.45","4.05","95","69","47","19","3","4","16","7","7","0","0","6","11","17","72","59","29","161","219","42.37"
"639","William Carrier","VGK","L","54","535.58333333333","8","1","1","0","9","64.29","85","9.41","8.69","134","108","84","59","2","14","29","13","12","1","0","13","10","31","277","100","13","0","0","-"
"731","Ryan Donato","BOS","C","34","425.2","6","3","1","2","9","37.50","75","8.00","7.59","126","101","69","31","5","7","2","1","1","0","0","10","15","16","15","53","10","7","10","41.18"
"744","Christoffer Ehn","DET","C","60","637.01666666667","3","6","2","4","9","64.29","49","6.12","3.84","92","65","44","16","5","5","6","3","3","0","0","8","15","10","70","77","39","84","93","47.46"
"749","Gustav Forsling","CHI","D","43","734.58333333333","3","6","2","4","9","42.86","57","5.26","2.28","110","71","29","4","3","4","30","15","15","0","0","5","23","15","38","69","38","0","0","-"
"783","Jakob Forsbacka Karlsson","BOS","C","28","330.21666666667","3","6","3","3","9","81.82","21","14.29","2.6","34","24","21","11","1","5","2","1","1","0","0","1","4","9","14","36","9","95","131","42.04"
"872","Jesse Puljujarvi","EDM","R","46","549.85","4","5","3","2","9","56.25","53","7.55","4.33","112","79","58","21","3","7","16","8","8","0","0","5","29","20","46","61","26","2","2","50.00"
"952","Radim Simek","S.J","D","41","623.86666666667","1","8","3","5","9","29.03","41","2.44","1.34","80","52","13","2","2","2","8","4","4","0","0","5","21","14","67","63","34","0","0","-"
"956","Drake Batherson","OTT","R","20","268.3","3","6","3","3","9","69.23","18","16.67","1.69","27","23","19","11","1","1","6","3","3","0","0","12","12","7","17","19","21","3","1","75.00"
"21","Trevor Daley","DET","D","44","816.61666666667","2","6","4","2","8","24.24","47","4.26","2.64","83","64","31","11","3","7","12","6","6","0","0","5","43","10","14","28","53","0","0","-"
"41","Ryan Kesler","ANA","C","60","989.91666666667","5","3","3","0","8","36.36","86","5.81","9.52","149","123","89","48","2","12","44","18","16","2","0","12","26","18","93","50","56","582","463","55.69"
"175","Yannick Weber","NSH","D","62","738.61666666667","2","6","3","3","8","27.59","67","2.99","1.93","122","83","25","7","4","6","18","9","9","0","0","2","13","7","64","65","32","0","0","-"
"193","Jason Demers","ARI","D","35","699.73333333333","2","6","4","2","8","30.77","39","5.13","1.36","81","57","16","2","2","4","12","6","6","0","0","8","18","14","50","36","43","0","0","-"
"297","Kevin Connauton","ARI","D","50","917.58333333333","1","7","3","4","8","23.53","75","1.33","2.73","167","113","37","4","5","11","22","11","11","0","0","10","24","5","108","70","75","0","0","-"
"298","Garrett Wilson","PIT","L","50","380.75","2","6","4","2","8","66.67","54","3.70","5.42","80","69","55","34","6","10","18","6","4","2","0","8","5","5","114","56","16","3","4","42.86"
"301","Gabriel Bourque","COL","L","55","535.56666666667","2","6","5","1","8","47.06","34","5.88","3.46","60","53","28","16","1","5","10","5","5","0","0","5","8","11","100","54","48","7","13","35.00"
"325","Oscar Lindberg","OTT","L","20","264.26666666667","5","3","2","1","8","61.54","25","20.00","2.21","49","38","21","11","3","2","4","2","2","0","0","2","5","9","39","22","10","86","105","45.03"
"351","Devante Smith-Pelly","WSH","R","54","586.11666666667","4","4","3","1","8","57.14","60","6.67","7.81","114","89","65","29","2","4","15","6","5","1","0","5","9","7","78","40","36","16","25","39.02"
"367","Erik Gudbranson","VAN","D","57","1025.2166666667","2","6","3","3","8","23.53","72","2.78","2.1","141","98","26","4","5","7","83","24","18","3","3","15","24","7","132","104","60","0","0","-"
"444","Dmitrij Jaskin","WSH","R","37","373.11666666667","2","6","1","5","8","61.54","48","4.17","5.47","92","75","64","31","3","5","6","3","3","0","0","4","6","13","87","46","14","0","3","0.00"
"479","Stefan Noesen","N.J","R","41","522.01666666667","3","5","3","2","8","57.14","64","4.69","8.25","102","90","65","38","3","5","28","14","14","0","0","8","9","17","95","44","21","23","33","41.07"
"494","J.T. Brown","MIN","R","56","513.5","3","5","3","2","8","47.06","56","5.36","5.05","96","71","45","23","6","11","29","9","7","1","1","8","9","16","99","45","16","5","13","27.78"
"594","Saku Maenalanen","CAR","R","34","320.65","4","4","3","1","8","61.54","36","11.11","3.6","56","47","35","20","4","5","20","6","5","0","1","6","8","12","45","31","10","6","15","28.57"
"757","Dylan Sikura","CHI","R","33","372.31666666667","0","8","7","1","8","44.44","52","0.00","3.24","88","59","43","19","4","6","0","0","0","0","0","0","7","23","3","40","10","0","5","0.00"
"789","Oliver Kylington","CGY","D","38","472.03333333333","3","5","2","3","8","53.33","21","14.29","1.21","59","36","17","3","2","3","10","5","5","0","0","2","32","13","11","50","41","0","0","-"
"915","Trevor Moore","TOR","L","25","227.35","2","6","2","4","8","88.89","26","7.69","2.51","48","40","35","13","6","5","2","1","1","0","0","2","9","8","15","37","7","0","0","-"
"985","Bogdan Kiselevich","FLA","D","32","475.33333333333","0","8","6","2","8","57.14","14","0.00","0.63","42","23","13","2","0","1","12","6","6","0","0","2","9","4","49","72","21","0","0","-"
"986","Antti Suomela","S.J","C","27","305.56666666667","3","5","3","2","8","100.00","42","7.14","5.02","73","63","43","28","2","9","4","2","2","0","0","3","7","5","10","30","11","102","127","44.54"
"54","Nate Thompson","MTL","C","25","329.45","1","6","1","5","7","87.50","36","2.78","2.54","54","42","30","16","1","2","0","0","0","0","0","2","12","11","33","35","10","146","119","55.09"
"119","Jamie McGinn","FLA","L","19","202.86666666667","4","3","3","0","7","77.78","23","17.39","2.32","42","29","20","11","2","2","6","3","3","0","0","0","6","4","34","26","3","1","0","100.00"
"144","Ben Lovejoy","N.J","D","51","896.48333333333","2","5","3","2","7","23.33","70","2.86","2.23","137","96","25","5","4","8","33","15","14","1","0","4","24","20","59","72","77","0","0","-"
"173","Carl Gunnarsson","STL","D","25","398.28333333333","3","4","0","4","7","29.17","21","14.29","1.3","48","31","18","5","0","2","6","3","3","0","0","1","7","6","11","36","35","0","0","-"
"238","Greg Pateryn","MIN","D","80","1369.65","1","6","5","1","7","16.67","100","1.00","2.57","205","145","26","6","3","9","41","19","18","1","0","6","17","14","144","89","118","0","1","0.00"
"303","Erik Haula","VGK","C, L","15","248.81666666667","2","5","3","2","7","77.78","26","7.69","3.2","64","44","40","18","6","4","10","5","5","0","0","7","6","12","11","40","6","78","74","51.32"
"305","Phil Varone","PHI","C","47","371.65","3","4","3","1","7","58.33","34","8.82","2.81","54","39","34","15","5","2","8","4","4","0","0","4","11","5","23","29","19","81","82","49.69"
